Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Home in Pittsburgh,4.97 (362),40.38856,-80.04557,$129,No,0,Head to Pittsburgh From Mt. Lebanon Cottage,entire_home,No,Yes,,https://airbnb.com/rooms/29051237
Home in Pittsburgh,4.67 (51),40.38644,-80.04537,$85,No,0,Luxe Mt. Lebanon Home | Central | Free Parking,entire_home,No,No,,https://airbnb.com/rooms/999465084145903782
Home in Pittsburgh,New,40.386821369120916,-80.03693047387367,$128,No,0,Energetic Oasis,entire_home,No,Yes,,https://airbnb.com/rooms/1253053088383989580
Apartment in Pittsburgh,5.0 (19),40.4532353,-79.9352881,$91,Yes,10,Luxurious Double KING~Steps to Walnut St~PARKING,entire_home,No,Yes,,https://airbnb.com/rooms/1200852786785733774
Home in Coraopolis,New,40.51942425858541,-80.16581800505807,$109,No,0,Pittsburgh Getaway,entire_home,No,No,,https://airbnb.com/rooms/1200986457180350517
Apartment in Pittsburgh,4.92 (103),40.48195,-79.97583,$90,Yes,13,Spacious 1 bedroom / 2 full bath in hip Millvale!,entire_home,No,Yes,,https://airbnb.com/rooms/575349045870345703
Apartment in Pittsburgh,4.95 (263),40.46165,-79.94009,$85,Yes,20,Cozy Entire APT B Friendship Park & Free Parking,entire_home,No,Yes,,https://airbnb.com/rooms/44277604
Apartment in Pittsburgh,4.99 (188),40.49684,-80.05077,$82,Yes,15,"The Bellevue Suite *Free parking, 10mins to DWNTWN",entire_home,No,Yes,,https://airbnb.com/rooms/28277406
Home in Pittsburgh,New,40.47865256754433,-79.95373159712985,$72,Yes,19,Townhouse| King | Pittsburg 419,entire_home,No,Yes,,https://airbnb.com/rooms/1253102676835170088
Guesthouse in Bellevue,4.92 (126),40.50035,-80.05639,$73,No,0,Newly Renovated; 10 minutes from Downtown,entire_home,No,No,,https://airbnb.com/rooms/606385642655352193
Home in Pittsburgh,4.93 (29),40.46404,-79.96204,$68,No,0,Spacious Home near Arsenal Park l High Speed WiFi,entire_home,No,No,,https://airbnb.com/rooms/1045016637956436552
Apartment in Pittsburgh,4.93 (55),40.45471269999999,-79.93117289999999,$93,No,0,Shadyside King Suite w/ Parking!,entire_home,No,Yes,,https://airbnb.com/rooms/1117343197365802960
Home in Pittsburgh,4.93 (295),40.47469,-80.0274,$69,No,0,"Explore Pittsburgh from a Modern, Hip Bungalow",entire_home,No,No,,https://airbnb.com/rooms/42485891
Apartment in Pittsburgh,New,40.45466,-79.91105,$129,Yes,14,Luxurious 3 King Bed Apt~3 Parking Spots~Bakery Sq,entire_home,No,Yes,,https://airbnb.com/rooms/1231965422527797051
Apartment in Pittsburgh,4.84 (522),40.45433,-80.02869,$76,Yes,30,Renovated top floor unit! Close to downtown!,entire_home,No,No,,https://airbnb.com/rooms/23732307
Apartment in Pittsburgh,4.94 (376),40.46224,-79.94184,$81,Yes,18,Cozy Entire Apt 2 *Friendship Park* free parking,entire_home,No,Yes,,https://airbnb.com/rooms/35237302
Home in Pittsburgh,4.93 (89),40.46192,-80.00252,$77,No,0,Eclectic Historic Sunny Vista Home with City Views,entire_home,No,No,,https://airbnb.com/rooms/48092795
Apartment in Pittsburgh,4.9 (52),40.46129,-79.93126,$93,No,0,Luxurious 2Bed by Whole Foods,entire_home,No,Yes,,https://airbnb.com/rooms/1117458435517043938
Home in Pittsburgh,4.92 (25),40.42742,-80.14117,$100,No,0,Legacy studio,entire_home,No,Yes,,https://airbnb.com/rooms/1163929489419732503
Apartment in Pittsburgh,4.9 (185),40.42968,-79.97655,$82,No,0,Convenient 1BR in the South Side,entire_home,No,No,,https://airbnb.com/rooms/819838094763961376
Apartment in South Side Flats,4.9 (89),40.42407,-79.96844,$64,No,0,Walkable Southside Flats Fun,entire_home,No,No,,https://airbnb.com/rooms/657169757170127665
Apartment in Pittsburgh,4.87 (31),40.45646,-80.02811,$69,Yes,9,"Beautiful historic, renovated unit!",entire_home,No,Yes,,https://airbnb.com/rooms/8506667
Room in North Oakland,4.95 (74),40.44901,-79.95677,$93,No,0,Oakland/University @C Modern & Stylish Private Bd,private_room,No,No,,https://airbnb.com/rooms/965921728316833907
Home in Pittsburgh,5.0 (6),40.45434744971602,-80.00099401921034,$141,No,0,Private Parking & Patio • Stylish Urban Getaway,entire_home,No,No,,https://airbnb.com/rooms/1233654430718237647
Guest suite in Bloomfield,4.89 (356),40.4647,-79.93363,$54,Yes,23,PRIVATE MINI STUDIO (D1),entire_home,No,Yes,,https://airbnb.com/rooms/20030383
Room in Pittsburgh,4.82 (216),40.57082,-80.05408,$37,No,0,Cozy Private Room,private_room,No,No,,https://airbnb.com/rooms/33334222
Apartment in Point Breeze,4.96 (444),40.44861,-79.9048,$93,No,0,Charming cozy apartment with deck.,entire_home,No,Yes,,https://airbnb.com/rooms/6259963
Home in Troy Hill,4.95 (44),40.47138,-79.97844,$103,No,0,The View*Sleeps 6* City Home,entire_home,No,No,,https://airbnb.com/rooms/957141526650769847
