Apartment Name,Room Type,Unit Number,Unit Price,Unit Area,Available Time
Brentmoor at Penn Center,2 Bedroom - 2 Bath	2 beds	2 baths,1110,"$1,981","1,211 Sq Ft",Oct 12
Brentmoor at Penn Center,2 Bedroom - 2 Bath	2 beds	2 baths,1107,"$1,821","1,179 Sq Ft",Oct 18
Brentmoor at Penn Center,2 Bedroom - 2 Bath	2 beds	2 baths,807,"$1,704","1,179 Sq Ft",Oct 31
Brentmoor at Penn Center,2 Bedroom - 1 Bath	2 beds	1 bath,415,"$1,702","1,104 Sq Ft",Oct 16
Brentmoor at Penn Center,2 Bedroom - 1 Bath	2 beds	1 bath,503,"$1,710","1,104 Sq Ft",Oct 31
The View North Hills,Osprey A3	1 bed	1 bath,1117,"$1,404",730 Sq Ft,Now
The View North Hills,Osprey A3	1 bed	1 bath,1917,"$1,384",730 Sq Ft,Oct 1
The View North Hills,Osprey A3	1 bed	1 bath,1823,"$1,409",730 Sq Ft,Oct 1
The View North Hills,Osprey A3R	1 bed	1 bath,1921,"$1,604",730 Sq Ft,Now
The View North Hills,Osprey A3R	1 bed	1 bath,1121,"$1,529",730 Sq Ft,Oct 8
The View North Hills,Raven A1	1 bed	1 bath,1218,"$1,423",662 Sq Ft,Nov 5
The View North Hills,Raven A1	1 bed	1 bath,1213,"$1,428",662 Sq Ft,Dec 22
The View North Hills,Falcon A4	1 bed	1 bath,2010,"$1,428",819 Sq Ft,Nov 13
The View North Hills,Hawk B1	2 beds	1 bath,1212,"$1,429",937 Sq Ft,Now
The View North Hills,Hawk B1	2 beds	1 bath,1829,"$1,384",937 Sq Ft,Oct 5
The View North Hills,Hawk B1	2 beds	1 bath,1512,"$1,429",937 Sq Ft,Oct 7
The View North Hills,Eagle B3	2 beds	2 baths,1811,"$1,461","1,133 Sq Ft",Now
The View North Hills,Eagle B3	2 beds	2 baths,1509,"$1,481","1,133 Sq Ft",Now
The View North Hills,Eagle B3	2 beds	2 baths,1536,"$1,481","1,133 Sq Ft",Now
The View North Hills,Condor B2R	2 beds	2 baths,1708,"$1,654","1,044 Sq Ft",Now
The View North Hills,Condor B2R	2 beds	2 baths,1232,"$1,654","1,044 Sq Ft",Now
The View North Hills,Condor B2R	2 beds	2 baths,1207,"$1,654","1,044 Sq Ft",Now
The View North Hills,Hawk B1R	2 beds	1 bath,2408,"$1,549",937 Sq Ft,Now
The View North Hills,Hawk B1R	2 beds	1 bath,1810,"$1,669",937 Sq Ft,Now
The View North Hills,Hawk B1R	2 beds	1 bath,2110,"$1,664",937 Sq Ft,Nov 24
The View North Hills,Eagle B3R	2 beds	2 baths,1111,"$1,781","1,133 Sq Ft",Now
The View North Hills,Eagle B3R	2 beds	2 baths,1411,"$1,781","1,133 Sq Ft",Now
The View North Hills,Eagle B3R	2 beds	2 baths,1236,"$1,781","1,133 Sq Ft",Oct 2
The View North Hills,Condor B2	2 beds	2 baths,1624,"$1,359","1,044 Sq Ft",Oct 8
The View North Hills,Condor B2	2 beds	2 baths,2232,"$1,314","1,044 Sq Ft",Oct 12
Kaufmanns,S8	Studio	1 bath,843,"$1,437",525 Sq Ft,Now
Kaufmanns,S13	Studio	1 bath,909,"$1,480",672 Sq Ft,Now
Kaufmanns,S12	Studio	1 bath,834,"$1,552",549 Sq Ft,Now
Kaufmanns,S12	Studio	1 bath,1034,"$1,663",549 Sq Ft,Now
Kaufmanns,S12	Studio	1 bath,934,"$1,628",549 Sq Ft,Oct 3
Kaufmanns,S2	Studio	1 bath,1143,"$1,545",458 Sq Ft,Oct 7
Kaufmanns,S9	Studio	1 bath,938,"$1,518",530 Sq Ft,Oct 15
Kaufmanns,S9	Studio	1 bath,738,"$1,454",530 Sq Ft,Nov 4
Kaufmanns,S7	Studio	1 bath,1054,"$1,476",523 Sq Ft,Oct 15
Kaufmanns,A20	1 bed	1 bath,1135,"$1,660",725 Sq Ft,Now
Kaufmanns,A20	1 bed	1 bath,949,"$1,602",725 Sq Ft,Nov 13
Kaufmanns,A20	1 bed	1 bath,849,"$1,592",725 Sq Ft,Nov 21
Kaufmanns,A18	1 bed	1 bath,744,"$1,664",716 Sq Ft,Now
Kaufmanns,A32	1 bed	1 bath,923,"$1,701",830 Sq Ft,Now
Kaufmanns,A32	1 bed	1 bath,925,"$1,858",830 Sq Ft,Oct 10
Kaufmanns,A29	1 bed	1 bath,715,"$1,734",796 Sq Ft,Now
Kaufmanns,B17	1 bed	1 bath,1148,"$2,069",950 Sq Ft,Now
Kaufmanns,A21	1 bed	1 bath,1116,"$2,400",738 Sq Ft,Now
Kaufmanns,A16	1 bed	1 bath,1118,"$1,768",714 Sq Ft,Oct 7
Kaufmanns,A31	1 bed	1 bath,1019,"$1,813",813 Sq Ft,Oct 11
Kaufmanns,A23	1 bed	1 bath,1040,"$1,965",752 Sq Ft,Oct 28
Kaufmanns,A12	1 bed	1 bath,1039,"$1,754",700 Sq Ft,Nov 7
Kaufmanns,A22	1 bed	1 bath,932,"$1,639",741 Sq Ft,Nov 18
Kaufmanns,A17	1 bed	1 bath,924,"$1,834",715 Sq Ft,Nov 23
Kaufmanns,A24	1 bed	1 bath,805,"$1,765",755 Sq Ft,Dec 7
Kaufmanns,A34	1 bed	1 bath,1114,"$1,976",977 Sq Ft,Dec 22
Kaufmanns,B1	2 beds	2 baths,948,"$2,360",936 Sq Ft,Now
Kaufmanns,B5	2 beds	2 baths,756,"$2,829",983 Sq Ft,Now
Kaufmanns,B5	2 beds	2 baths,956,"$2,903",983 Sq Ft,Oct 7
Kaufmanns,B6	2 beds	2 baths,1022,"$2,454","1,009 Sq Ft",Dec 22
Clyde Street Apartments,Oak 2BD/1BA Stack 03	2 beds	1 bath,Shady Oak-103-B,"$1,470",549 Sq Ft,Now
Clyde Street Apartments,Oak 2BD/1BA Stack 03	2 beds	1 bath,Shady Oak-403-B,"$1,470",549 Sq Ft,Now
Clyde Street Apartments,Oak 3BD/2BA Stack 01	3 beds	2 baths,Shady Oak-401-B,"$1,475",715 Sq Ft,Now
Clyde Street Apartments,Oak 3BD/2BA Stack 01	3 beds	2 baths,Shady Oak-401-C,"$1,475",715 Sq Ft,Now
Clyde Street Apartments,Oak 3BD/2BA Stack 02	3 beds	2 baths,Shady Oak-102-B,"$1,485",743 Sq Ft,Now
Clyde Street Apartments,Oak 3BD/2BA Stack 02	3 beds	2 baths,Shady Oak-102-C,"$1,485",743 Sq Ft,Now
Clyde Street Apartments,Oak 3BD/2BA Stack 02	3 beds	2 baths,Shady Oak-202-B,"$1,485",743 Sq Ft,Now
Carriage Park Apartments,Camelot Efficiency	Studio	1 bath,400616,$970,405 Sq Ft,Oct 12
Carriage Park Apartments,Camelot Efficiency	Studio	1 bath,400707,$985,420 Sq Ft,Oct 27
Carriage Park Apartments,Camelot Efficiency	Studio	1 bath,400302,$970,405 Sq Ft,Nov 11
Carriage Park Apartments,Garden 1 Bedroom - Style 3	1 bed	1 bath,24000TB,"$1,110",635 Sq Ft,Oct 1
Carriage Park Apartments,Garden 1 Bedroom - Style 3	1 bed	1 bath,54400TB,"$1,110",635 Sq Ft,Nov 9
Carriage Park Apartments,Garden 1 Bedroom - Style 3	1 bed	1 bath,20400TB,"$1,110",635 Sq Ft,Nov 9
Carriage Park Apartments,Southward 1 Bedroom	1 bed	1 bath,100412,"$1,225",610 Sq Ft,Oct 5
Carriage Park Apartments,Southward 1 Bedroom	1 bed	1 bath,100512,"$1,155",610 Sq Ft,Oct 12
Carriage Park Apartments,Southward 1 Bedroom	1 bed	1 bath,100306,"$1,155",610 Sq Ft,Oct 12
Carriage Park Apartments,Camelot 1 Bedroom - Style 1	1 bed	1 bath,400P17,"$1,115",670 Sq Ft,Oct 12
Carriage Park Apartments,Garden 1 Bedroom - Style 2	1 bed	1 bath,53202B,"$1,115",656 Sq Ft,Nov 1
Carriage Park Apartments,Garden 1 Bedroom - Style 2	1 bed	1 bath,38000TA,"$1,185",656 Sq Ft,Nov 1
Carriage Park Apartments,Garden 1 Bedroom - Style 2	1 bed	1 bath,51201C,"$1,115",656 Sq Ft,Nov 5
Carriage Park Apartments,Garden 2 Bedroom - Style 1	2 beds	1 bath,53601B,"$1,420",875 Sq Ft,Now
Carriage Park Apartments,Garden 2 Bedroom - Style 1	2 beds	1 bath,55601A,"$1,460",875 Sq Ft,Now
Carriage Park Apartments,Garden 2 Bedroom - Style 1	2 beds	1 bath,43601B,"$1,460",875 Sq Ft,Oct 11
Carriage Park Apartments,Camelot 2 Bedroom - Style 1	2 beds	2 baths,400P04,"$1,480",990 Sq Ft,Oct 11
Carriage Park Apartments,Camelot 2 Bedroom - Style 1	2 beds	2 baths,400514,"$1,460",990 Sq Ft,Oct 26
Carriage Park Apartments,Camelot 2 Bedroom - Style 1	2 beds	2 baths,400212,"$1,460",990 Sq Ft,Nov 5
Carriage Park Apartments,Parkridge 2 Bedroom - Style 2	2 beds	2 baths,600709,"$1,460",975 Sq Ft,Oct 15
Carriage Park Apartments,Parkridge 2 Bedroom - Style 2	2 beds	2 baths,600410,"$1,460",975 Sq Ft,Oct 23
Carriage Park Apartments,Parkridge 2 Bedroom - Style 2	2 beds	2 baths,600104,"$1,480",975 Sq Ft,Nov 9
Briaridge Apartments,1x1	1 bed	1 bath,106K,$949,750 Sq Ft,Now
Briaridge Apartments,1x1	1 bed	1 bath,108J,$949,750 Sq Ft,Now
Briaridge Apartments,1x1	1 bed	1 bath,112K,$949,750 Sq Ft,Soon
Briaridge Apartments,2x1	2 beds	1 bath,110A,"$1,049",900 Sq Ft,Soon
The School House,Studio	1 bath,Studio,"$1,325 – $1,375",563 – 645 sq ft,Available Now
The School House,1 bed	1 bath,One Bedroom,"$1,500 – $1,800","776 – 1,282 sq ft",Available Now
The School House,2 beds	2 baths,"Two Bedroom, 2 Bath","$1,650 – $2,000","1,035 – 1,337 sq ft",Available Now
The School House,2 beds	2.5 baths,"Two Bedroom, 2 1/2 Bath","$2,225 – $2,300","1,337 – 1,345 sq ft",Available Now
Live South Side,Ryan Haus #403	2 beds	1 bath,RH-403,"$1,849",905 Sq Ft,Now
Bear Run Village,1 Bedroom / 1 Bathroom	1 bed	1 bath,BRV-1907,"$1,357",770 Sq Ft,Now
Bear Run Village,1 Bedroom / 1 Bathroom	1 bed	1 bath,BRV-925,"$1,359",770 Sq Ft,Now
Bear Run Village,1 Bedroom / 1 Bathroom	1 bed	1 bath,BRV-504,"$1,361",770 Sq Ft,Now
Bear Run Village,2 Bedroom / 2 Bathroom	2 beds	2 baths,BRV-1821,"$1,507",955 Sq Ft,Now
Bear Run Village,2 Bedroom / 2 Bathroom	2 beds	2 baths,BRV-621,"$1,549",955 Sq Ft,Now
Bear Run Village,2 Bedroom / 2 Bathroom	2 beds	2 baths,BRV-2326,"$1,558",955 Sq Ft,Now
Bear Run Village,2 Bedroom / 2.5 Bathroom Townhome	2 beds	2.5 baths,BRV-1204,"$1,968","1,150 Sq Ft",Now
Bear Run Village,2 Bedroom / 2.5 Bathroom Townhome	2 beds	2.5 baths,BRV-805,"$1,967","1,150 Sq Ft",Oct 2
Bear Run Village,2 Bedroom / 2.5 Bathroom Townhome	2 beds	2.5 baths,BRV-1203,"$1,924","1,150 Sq Ft",Nov 1
Bear Run Village,3 Bedroom / 2 Bathroom	3 beds	2 baths,BRV-2023,"$1,994","1,194 Sq Ft",Now
Bear Run Village,3 Bedroom / 2 Bathroom Townhome	3 beds	2 baths,BRV-201,"$2,289","1,375 Sq Ft",Oct 1
Bear Run Village,3 Bedroom / 2 Bathroom Townhome	3 beds	2 baths,BRV-1607,"$2,350","1,375 Sq Ft",Oct 29
Bear Run Village,3 Bedroom / 2 Bathroom Townhome	3 beds	2 baths,BRV-1008,"$2,361","1,375 Sq Ft",Oct 31
Chateau Perry,Rosewood	1 bed	1 bath,323,"$1,335",644 Sq Ft,Now
Chateau Perry,Rosewood	1 bed	1 bath,T-21,"$1,335",644 Sq Ft,Now
Chateau Perry,Merigold	1 bed	1 bath,413,"$1,263",547 Sq Ft,Oct 14
Chateau Perry,Vanity Fair	2 beds	1 bath,216,"$1,358",858 Sq Ft,Now
Chateau Perry,Vanity Fair	2 beds	1 bath,425,"$1,358",858 Sq Ft,Dec 14
Chateau Perry,Newport	2 beds	1.5 baths,434,"$1,380",880 Sq Ft,Nov 14
Chateau Perry,Newport	2 beds	1.5 baths,328,"$1,380",880 Sq Ft,Nov 14
Chateau Perry,Westminster	3 beds	2 baths,T-17,"$1,597","1,101 Sq Ft",Dec 14
Hamilton Place,Studio	1 bath,Efficiency,"$1,310 – $1,335",457 sq ft,Available Now
Hamilton Place,1 bed	1 bath,1 Bedroom / 1 Bath,"$1,460 – $1,660",661 sq ft,Available Now
Hamilton Place,1 bed	1 bath,1 Bedroom/1 Bath Large,"$1,460 – $1,660",745 sq ft,Available Now
Hamilton Place,2 beds	2 baths,2 Bedroom/ 2 Bath 3.1,"$1,640 – $1,840",973 sq ft,Available Now
Hamilton Place,2 beds	2 baths,2 Bedroom / 2 Bath End,"$1,705 – $1,905",958 sq ft,Available Now
Hamilton Place,2 beds	2 baths,2 Bedroom / 2 Bath Large,"$1,720 – $1,920","1,004 sq ft",Available Now
Hamilton Place,2 beds	2 baths,2 Bedroom / 2 Bath End Alt,"$1,790 – $1,990",979 sq ft,Available Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 687 sqft	1 bed	1 bath,CG703,"$1,295",687 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 665 sqft	1 bed	1 bath,MB507,"$1,295",665 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 665 sqft	1 bed	1 bath,MB306,"$1,295",665 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 665 sqft	1 bed	1 bath,MB721,"$1,315",665 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 634 sqft	1 bed	1 bath,MB610,"$1,305",634 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,One Bedroom- 687 sqft	1 bed	1 bath,CG219,"$1,335",687 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,Two Bedroom 1.5 Bath-906 sqft	2 beds	1.5 baths,MB716,"$1,570",906 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,Two Bedroom 1.5 Bath-906 sqft	2 beds	1.5 baths,MB718,"$1,570",906 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,Two Bedroom 1.5 Bath-906 sqft	2 beds	1.5 baths,MB604,"$1,615",906 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,Two Bedroom 2 Bath-938 sqft	2 beds	2 baths,CG402,"$1,630",938 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,Two Bedroom 2 Bath-938 sqft	2 beds	2 baths,CG418,"$1,630",938 Sq Ft,Now
Maiden Bridge and Canongate Apartment Homes,"Two Bedroom 1.5 Bath-1,000 sqft	2 beds	1.5 baths",MB808,"$1,685","1,000 Sq Ft",Now
Maiden Bridge and Canongate Apartment Homes,"Two Bedroom-1,155 sqft	2 beds	1 bath",MB123,"$1,690","1,155 Sq Ft",Oct 7
Maiden Bridge and Canongate Apartment Homes,"Three Bedroom 2 Bath-1,408 sqft	3 beds	2 baths",CG612,"$1,815","1,408 Sq Ft",Now
Maiden Bridge and Canongate Apartment Homes,"Three Bedroom 2 Bath- 1,365 sqft	3 beds	2 baths",CG104,"$1,930","1,365 Sq Ft",Oct 3
First Avenue Lofts,1-Bed A	1 bed	1 bath,802,"$1,550",600 Sq Ft,Now
First Avenue Lofts,1-Bed A	1 bed	1 bath,502,"$1,450",600 Sq Ft,Nov 5
First Avenue Lofts,2 Bed	2 beds	1.5 baths,505,"$1,750",850 Sq Ft,Now
First Avenue Lofts,2 Bed	2 beds	1.5 baths,705,"$1,850",850 Sq Ft,Now
The Ashby at South Hills Village Station,A2	1 bed	1 bath,1100-1417,"$1,778",766 Sq Ft,Now
The Ashby at South Hills Village Station,A2	1 bed	1 bath,1100-1304,"$1,820",766 Sq Ft,Now
The Ashby at South Hills Village Station,A3	1 bed	1 bath,1100-1308,"$1,895",871 Sq Ft,Now
The Ashby at South Hills Village Station,A2.1	1 bed	1 bath,1100-1418,"$1,971",865 Sq Ft,Now
The Ashby at South Hills Village Station,B6	2 beds	2 baths,1300-3417,"$2,335","1,049 Sq Ft",Now
The Ashby at South Hills Village Station,B4	2 beds	2 baths,1100-1401,"$2,345","1,040 Sq Ft",Now
The Ashby at South Hills Village Station,B2	2 beds	2 baths,1300-3409,"$2,461","1,122 Sq Ft",Now
The Ashby at South Hills Village Station,B1	2 beds	2 baths,1400-4408,"$2,386","1,074 Sq Ft",Oct 28
The Ashby at South Hills Village Station,C5	3 beds	2 baths,1300-3122,"$2,608","1,402 Sq Ft",Oct 22
The Residences @ The GARDEN,B	1 bed	1 bath,405,"$1,649",636 Sq Ft,Now
The Residences @ The GARDEN,B	1 bed	1 bath,407,"$1,699",636 Sq Ft,Now
The Residences @ The GARDEN,B	1 bed	1 bath,503,"$1,729",636 Sq Ft,Now
The Residences @ The GARDEN,N	1 bed	1 bath,302,"$1,899",660 Sq Ft,Oct 9
The Residences @ The GARDEN,D3	1 bed	1 bath,313,"$2,899",945 Sq Ft,Oct 9
The Residences @ The GARDEN,E	2 beds	2 baths,509,"$2,999","1,078 Sq Ft",Now
Pleasant Hills,Lexington	1 bed	1 bath,710,"$1,331",749 Sq Ft,Now
Pleasant Hills,Lexington	1 bed	1 bath,204,"$1,331",749 Sq Ft,Nov 15
Pleasant Hills,Lexington	1 bed	1 bath,724,"$1,331",749 Sq Ft,Nov 15
Pleasant Hills,Royal	2 beds	1 bath,719,"$1,575",976 Sq Ft,Now
Pleasant Hills,Royal	2 beds	1 bath,709,"$1,583",976 Sq Ft,Nov 15
Pleasant Hills,Pentagon	2 beds	2 baths,814,"$1,600",920 Sq Ft,Now
Pleasant Hills,Executive	2 beds	2 baths,811,"$1,645","1,065 Sq Ft",Now
Pleasant Hills,Executive	2 beds	2 baths,711,"$1,645","1,065 Sq Ft",Oct 15
Club at North Hills Apartment Homes,One Bedroom - 678 sqft	1 bed	1 bath,09-909,"$1,370",678 Sq Ft,Oct 3
Club at North Hills Apartment Homes,One Bedroom - 572 sqft	1 bed	1 bath,17-1702,"$1,285",572 Sq Ft,Oct 25
Club at North Hills Apartment Homes,One Bedroom - 759 sqft	1 bed	1 bath,04-404,"$1,525",759 Sq Ft,Nov 16
Club at North Hills Apartment Homes,Two Bedroom 2 Bath - 948 sqft	2 beds	2 baths,14-1418,"$1,660",948 Sq Ft,Now
Club at North Hills Apartment Homes,Two Bedroom 2 Bath - 948 sqft	2 beds	2 baths,06-610,"$1,705",948 Sq Ft,Now
Club at North Hills Apartment Homes,Two Bedroom 2 Bath - 948 sqft	2 beds	2 baths,14-1422,"$1,675",948 Sq Ft,Oct 4
Club at North Hills Apartment Homes,"Two Bedroom 2 Bath - 1,039 sqft	2 beds	2 baths",03-324,"$1,725","1,039 Sq Ft",Oct 15
Club at North Hills Apartment Homes,"Two Bedroom 2 Bath - 1,039 sqft	2 beds	2 baths",08-813,"$1,715","1,039 Sq Ft",Oct 19
Club at North Hills Apartment Homes,"Two Bedroom 2 Bath - 1,039 sqft	2 beds	2 baths",10-1004,"$1,735","1,039 Sq Ft",Oct 29
Mulberry Lofts,Alcoa	Studio	1 bath,631,"$1,568",471 Sq Ft,Now
Mulberry Lofts,Donora	1 bed	1 bath,312,"$1,778",614 Sq Ft,Now
Mulberry Lofts,Donora	1 bed	1 bath,326,"$1,778",614 Sq Ft,Now
Mulberry Lofts,Donora	1 bed	1 bath,522,"$1,808",614 Sq Ft,Now
Mulberry Lofts,Monessan	1 bed	1 bath,303,"$1,843",608 Sq Ft,Now
Nob Hill of Pittsburgh,Suite A	1 bed	1 bath,229,"$1,276",648 Sq Ft,Now
Nob Hill of Pittsburgh,Suite A	1 bed	1 bath,321,"$1,276",648 Sq Ft,Oct 14
Nob Hill of Pittsburgh,Suite A	1 bed	1 bath,335,"$1,276",648 Sq Ft,Oct 14
Nob Hill of Pittsburgh,Suite B1	2 beds	1.5 baths,T-27,"$1,210",858 Sq Ft,Now
Nob Hill of Pittsburgh,Suite B1	2 beds	1.5 baths,302,"$1,230",858 Sq Ft,Now
Nob Hill of Pittsburgh,Suite B1	2 beds	1.5 baths,202,"$1,230",858 Sq Ft,Now
Nob Hill of Pittsburgh,Suite B	2 beds	1.5 baths,203,"$1,311",858 Sq Ft,Oct 14
Nob Hill of Pittsburgh,Suite B	2 beds	1.5 baths,215,"$1,249",858 Sq Ft,Dec 14
Nob Hill of Pittsburgh,Suite B	2 beds	1.5 baths,444,"$1,299",858 Sq Ft,"Jan 13, 2026"
Nob Hill of Pittsburgh,Suite C	3 beds	2 baths,122,"$1,735","1,031 Sq Ft",Now
Nob Hill of Pittsburgh,Suite C	3 beds	2 baths,T-49,"$1,735","1,031 Sq Ft",Now
Mountvue Apartments,0BR/1.0BA	Studio	1 bath,102,"$1,400",580 Sq Ft,Now
Mountvue Apartments,0BR/1.0BA	Studio	1 bath,202,"$1,495",580 Sq Ft,Now
Mountvue Apartments,0BR/1.0BA	Studio	1 bath,506,"$1,275",580 Sq Ft,Oct 15
Mountvue Apartments,1BR/1.0BA	1 bed	1 bath,404,"$1,480",780 Sq Ft,Now
Mountvue Apartments,1BR/1.0BA	1 bed	1 bath,804,"$1,600",780 Sq Ft,Now
Mountvue Apartments,2BR/2.0BA	2 beds	2 baths,101,"$2,250","1,250 Sq Ft",Now
The Washington at Chatham,Adams	Studio	1 bath,735,"$1,455",523 Sq Ft,Oct 7
The Washington at Chatham,Adams	Studio	1 bath,836,"$1,455",523 Sq Ft,"Jan 7, 2025"
The Washington at Chatham,Roosevelt B	1 bed	1 bath,610,"$1,708",639 Sq Ft,Now
The Washington at Chatham,Roosevelt B	1 bed	1 bath,514,"$1,708",639 Sq Ft,Dec 22
The Washington at Chatham,Roosevelt B	1 bed	1 bath,714,"$1,708",639 Sq Ft,"Jan 7, 2025"
The Washington at Chatham,Grant E	1 bed	1 bath,733,"$1,649",610 Sq Ft,Oct 7
The Washington at Chatham,Grant D	1 bed	1 bath,526,"$1,678",613 Sq Ft,Oct 25
The Washington at Chatham,Grant D	1 bed	1 bath,725,"$1,678",613 Sq Ft,Nov 1
The Washington at Chatham,Jefferson C1	1 bed	1 bath,505,"$1,763",726 Sq Ft,Oct 28
The Washington at Chatham,Jefferson C1	1 bed	1 bath,624,"$1,763",726 Sq Ft,Nov 28
The Washington at Chatham,Jefferson C1	1 bed	1 bath,406,"$1,763",726 Sq Ft,Dec 22
The Washington at Chatham,Roosevelt A	1 bed	1 bath,415,"$1,728",675 Sq Ft,Oct 30
The Washington at Chatham,Roosevelt A	1 bed	1 bath,509,"$1,728",675 Sq Ft,Dec 22
The Washington at Chatham,Roosevelt A	1 bed	1 bath,513,"$1,728",675 Sq Ft,Dec 22
The Washington at Chatham,Roosevelt B1	1 bed	1 bath,612,"$1,708",639 Sq Ft,Nov 18
The Washington at Chatham,Roosevelt B1	1 bed	1 bath,512,"$1,708",639 Sq Ft,Dec 22
The Washington at Chatham,Roosevelt A1	1 bed	1 bath,417,"$1,728",675 Sq Ft,Dec 17
The Washington at Chatham,Roosevelt A1	1 bed	1 bath,511,"$1,728",675 Sq Ft,Dec 22
The Washington at Chatham,Jefferson C	1 bed	1 bath,508,"$1,788",752 Sq Ft,Dec 22
The Washington at Chatham,Jefferson C	1 bed	1 bath,422,"$1,788",752 Sq Ft,Dec 22
The Washington at Chatham,Jefferson C	1 bed	1 bath,507,"$1,788",752 Sq Ft,Dec 22
Crawford Square Apartments,1 bed	1 bath,One Bedroom,"$1,408 – $1,733",675 sq ft,Available Now
Crawford Square Apartments,1 bed	1 bath,1 Bedroom Townhome,"$1,658 – $1,848",698 sq ft,Available Now
Crawford Square Apartments,1 bed	1 bath,1 Bedroom Tax Credit***,Call for Rent,,Available Now
Crawford Square Apartments,1 bed	1 bath,1 Bedroom Townhome Tax Credit***,Call for Rent,,Available Now
Crawford Square Apartments,2 beds	1 bath,Two Bedroom,"$1,593 – $2,018",862 sq ft,Available Now
Crawford Square Apartments,2 beds	2 baths,2 Bedroom Townhome,"$2,417 – $2,643","1,006 sq ft",Available Now
Crawford Square Apartments,2 beds	1 bath,2 Bedroom Tax Credit***,Call for Rent,,Available Now
Crawford Square Apartments,2 beds	2 baths,2 Bedroom Townhome Tax Credit***,Call for Rent,,Available Now
Crawford Square Apartments,3 beds	2 baths,3 Bedroom Tax Credit***,Call for Rent,,Available Now
Crawford Square Apartments,3 beds	2 baths,3 Bedroom Townhome,Call for Rent,"1,205 sq ft",Not Available
Crawford Square Apartments,3 beds	2 baths,3 Bedroom Townhome Tax Credit***,Call for Rent,,Not Available
Baumhaus Apartments,Studio	1 bath,0BR/1.0BA,"$1,800",360 sq ft,Oct 4
Baumhaus Apartments,1 bed	1 bath,1BR/1.0BA,"$2,400 – $2,480",660 – 781 sq ft,Available Now
Baumhaus Apartments,1 bed	1 bath,"A1 - 1 Bedroom, 1 Bath","$1,975",558 sq ft,Nov 1
Baumhaus Apartments,2 beds	1 bath,2BR/1.0BA,"$3,200",664 sq ft,Available Now
Baumhaus Apartments,2 beds	2 baths,2BR/2.0BA,"$3,500 – $3,600","942 – 1,104 sq ft",Available Now
Webster Hall,Studio	1 bath,S1,"$1,370",346 sq ft,Available Soon
Fifth Avenue School Lofts,2 beds	2.5 baths,401,"$2,200","1,816 sq ft",Available Now
Westpointe Apartment Homes,One Bedroom- 660 sqft	1 bed	1 bath,2T07,"$1,235",660 Sq Ft,Now
Westpointe Apartment Homes,One Bedroom- 660 sqft	1 bed	1 bath,1-117,"$1,260",660 Sq Ft,Now
Westpointe Apartment Homes,One Bedroom- 660 sqft	1 bed	1 bath,1-322,"$1,260",660 Sq Ft,Oct 10
Westpointe Apartment Homes,One Bedroom- 697 sqft	1 bed	1 bath,1-210,"$1,280",697 Sq Ft,Now
Westpointe Apartment Homes,One Bedroom- 697 sqft	1 bed	1 bath,3313,"$1,100",697 Sq Ft,"Jan 9, 2025"
Westpointe Apartment Homes,One Bedroom- 758 sqft	1 bed	1 bath,1T27,"$1,275",758 Sq Ft,Now
Westpointe Apartment Homes,One Bedroom- 758 sqft	1 bed	1 bath,1T12,"$1,110",758 Sq Ft,Dec 6
Westpointe Apartment Homes,One Bedroom- 676 sqft	1 bed	1 bath,1T11,"$1,240",676 Sq Ft,Oct 23
Westpointe Apartment Homes,One Bedroom- 676 sqft	1 bed	1 bath,3T24,"$1,250",676 Sq Ft,Nov 21
Westpointe Apartment Homes,One Bedroom- 693 sqft	1 bed	1 bath,3109,"$1,325",693 Sq Ft,Nov 9
Westpointe Apartment Homes,Two Bedroom 2 Bath-880 sqft	2 beds	2 baths,3202,"$1,590",880 Sq Ft,Oct 7
Westpointe Apartment Homes,Two Bedroom 2 Bath-880 sqft	2 beds	2 baths,3217,"$1,590",880 Sq Ft,Oct 19
Westpointe Apartment Homes,Two Bedroom 2 Bath-880 sqft	2 beds	2 baths,3303,"$1,615",880 Sq Ft,Oct 26
Westpointe Apartment Homes,Two Bedroom 1.5 Bath- 868 sqft	2 beds	1.5 baths,1-111,"$1,440",868 Sq Ft,Nov 1
Westpointe Apartment Homes,Two Bedroom 1.5 Bath- 868 sqft	2 beds	1.5 baths,2-225,"$1,250",868 Sq Ft,Nov 2
Westpointe Apartment Homes,Two Bedroom 1.5 Bath- 868 sqft	2 beds	1.5 baths,3123,"$1,475",868 Sq Ft,Nov 2
Westpointe Apartment Homes,"Three Bedroom 2 Bath- 1,200 sqft	3 beds	2 baths",1-109,"$1,780","1,200 Sq Ft",Now
